VentaID,Fecha,ClienteID,NombreCliente,Zona,ProductoID,Producto,Categoria,Cantidad,PrecioUnitario,TotalVenta
23,2023-06-05,6,,Norte,6,Pan Integral,Panes,5,2.00,10.00
24,2024-07-07,3,Ana Martínez  ,Centro,1,Pan Francés,Panes,9,1.50,13.50
25,2023-03-15,9,Carmen Rivera  ,Este,10,Empanada,Salados,4,3.00,
26,2023-03-27,4,Juan Rodríguez,Este,10,,Salados,4,3.00,
27,2023-06-06,6,Pedro Ramírez,Norte,,Croissant,Panes,6,2.50,
28,,3,Ana Martínez,,1,Pan Francés,Panes,1,1.50,1.50
29,2023-04-24,7,Sofia Torres,Sur,1,Pan Francés,Panes,1,1.50,1.50
30,2023-08-21,5,Laura Sánchez,Oeste,4,Galletas Avena,Galletas,4,3.00,12.00
31,2024-03-09,8,Miguel Flores,Centro,2,Croissant,Panes  ,5,2.50,12.50
32,2024-09-15,5,Laura Sánchez,,10,,Salados,2,3.00,
33,,7,Sofia Torres,Sur,1,Pan Francés,Panes,7,1.50,10.50
34,2023-11-25,10,José Gómez,Oeste,9,Baguette,Panes,4,2.50,10.00
35,2024-04-19,4,Juan Rodríguez  ,Este,7,Muffin Arándanos,,9,3.50,31.50
36,2023-08-11,2,,Sur,6,Pan Integral,Panes,,2.00,16.00
37,2023-10-20,5,,Oeste,1,,Panes,1,1.50,1.50
38,2024-02-29,4,Juan Rodríguez,Este,5,Donas,,3,2.00,6.00
39,2023-12-30,9,Carmen Rivera,Este,10,Empanada,Salados,1,3.00,3.00
40,2023-10-05,9,Carmen Rivera,Este,1,Pan Francés,Panes,8,1.50,
41,2023-04-10,4,Juan Rodríguez,Este,3,Pastel Chocolate,Pasteles,9,15.00,135.00
42,2023-06-10,1,María González,Norte,,Tarta Manzana,Pasteles,6,12.00,72.00
43,2024-02-21,2,Carlos López,,6,Pan Integral,Panes,5,2.00,10.00
44,2023-01-10,6,Pedro Ramírez,Norte,9,Baguette,,7,2.50,17.50
45,2023-01-17,4,Juan Rodríguez,Este,9,Baguette,Panes,4,2.50,10.00
46,2023-08-08,2,Carlos López,Sur,5,Donas,Panes,3,2.00,6.00
47,2023-11-13,4,,Este,9,Baguette,Panes,10,2.50,25.00
48,2024-09-29,2,Carlos López,Sur,9,Baguette,Panes,3,2.50,7.50
49,2023-09-06,4,Juan Rodríguez,Este,4,Galletas Avena,Galletas,1,3.00,3.00
50,2024-01-10,3,,Centro,9,,Panes,5,2.50,12.50
51,2023-11-10,2,Carlos López,Sur,,,Panes,6,2.50,15.00
52,2023-12-12,1,María González,Norte,1,Pan Francés  ,Panes  ,10,1.50,15.00
53,2023-10-24,9,Carmen Rivera,Este,1,Pan Francés,Panes,4,1.50,6.00
54,2023-03-12,9,,Este,5,Donas,Panes,3,,
55,2024-03-11,9,Carmen Rivera,Este,7,Muffin Arándanos,Pasteles,10,,35.00
56,2023-05-05,8,Miguel Flores,,8,Tarta Manzana,,1,12.00,12.00
57,2024-08-02,8,Miguel Flores,Centro,6,,,3,2.00,6.00
58,2023-07-09,1,María González,Norte,8,Tarta Manzana,Pasteles,5,,60.00
59,2023-02-14,10,José Gómez,Oeste,3,Pastel Chocolate,Pasteles,5,15.00,75.00
60,2024-09-26,9,Carmen Rivera,Este,4,Galletas Avena  ,Galletas,1,3.00,3.00
61,2024-02-08,4,,Este,9,Baguette,Panes,4,2.50,10.00
62,,5,Laura Sánchez,Oeste,6,Pan Integral,Panes,8,2.00,16.00
63,2024-06-02,3,Ana Martínez,Centro,5,Donas  ,Panes,5,2.00,10.00
64,,1,María González,Norte,4,Galletas Avena,Galletas,3,3.00,9.00
65,2023-03-01,,Ana Martínez,Centro,6,Pan Integral,Panes,2,2.00,4.00
66,,4,Juan Rodríguez,Este,10,Empanada,Salados,9,3.00,27.00
67,2023-06-14,,Carmen Rivera,Este,8,Tarta Manzana,Pasteles,7,12.00,84.00
68,2023-06-30,2,Carlos López,Sur,9,Baguette,,6,2.50,15.00
69,2023-12-09,8,,Centro,4,Galletas Avena,Galletas,5,3.00,15.00
70,2023-01-04,,,Norte,8,Tarta Manzana,Pasteles,,12.00,96.00
71,2023-01-19,6,Pedro Ramírez,,5,Donas,Panes,4,2.00,8.00
72,2024-04-10,4,Juan Rodríguez,Este,3,Pastel Chocolate,,5,15.00,75.00
73,2024-05-30,5,Laura Sánchez,Oeste,5,Donas  ,Panes,6,2.00,12.00
74,2023-03-28,3,Ana Martínez,Centro,4,Galletas Avena,Galletas,,3.00,24.00
75,2023-03-20,10,José Gómez,,10,Empanada,Salados,9,3.00,27.00
76,2024-02-07,6,Pedro Ramírez,Norte,2,Croissant,Panes,5,2.50,12.50
77,2024-04-16,10,José Gómez,Oeste,1,Pan Francés,Panes,1,1.50,1.50
78,2023-08-01,9,Carmen Rivera,Este,6,Pan Integral,Panes,10,2.00,20.00
79,2024-06-18,10,José Gómez  ,Oeste,1,,Panes,7,1.50,10.50
80,,8,Miguel Flores,Centro,1,Pan Francés,,2,1.50,3.00
81,2023-02-05,6,Pedro Ramírez,Norte,7,Muffin Arándanos,Pasteles,4,3.50,14.00
82,2023-09-28,8,Miguel Flores,Centro,,,Pasteles,,3.50,10.50
83,2024-05-14,1,María González,Norte,6,Pan Integral,Panes,7,2.00,14.00
84,2024-03-18,,Carlos López,Sur,,,Pasteles,3,3.50,
85,2023-07-10,6,Pedro Ramírez,Norte,3,Pastel Chocolate,Pasteles,,15.00,60.00
86,2023-12-17,1,María González,,2,Croissant,Panes,3,2.50,7.50
87,2023-10-18,3,Ana Martínez,Centro,1,Pan Francés,Panes,8,1.50,12.00
88,,1,María González,,,Muffin Arándanos,Pasteles,7,3.50,24.50
89,,,Carmen Rivera,Este,9,Baguette,,6,2.50,15.00
90,2024-08-15,9,Carmen Rivera,Este  ,,Pan Francés,Panes,,1.50,4.50
91,2024-03-20,1,,Norte,3,Pastel Chocolate,Pasteles,9,15.00,135.00
92,2023-11-07,,Carmen Rivera,Este  ,,Donas,Panes,4,2.00,8.00
93,2023-04-01,1,María González,Norte,6,Pan Integral,Panes,7,2.00,14.00
94,2023-04-16,7,Sofia Torres,Sur,3,Pastel Chocolate,Pasteles,7,15.00,105.00
95,2024-04-21,5,Laura Sánchez,Oeste,5,Donas,Panes,2,2.00,4.00
96,2023-12-25,2,Carlos López  ,Sur,3,Pastel Chocolate,Pasteles,6,15.00,90.00
97,2024-05-18,9,Carmen Rivera,Este,2,Croissant  ,Panes,7,,17.50
98,2023-04-06,3,Ana Martínez,,4,Galletas Avena,Galletas,2,3.00,6.00
99,2023-06-27,7,Sofia Torres,Sur,6,Pan Integral,Panes,2,2.00,
100,2024-04-24,5,Laura Sánchez,Oeste,7,Muffin Arándanos,Pasteles,1,3.50,3.50
101,2023-09-23,9,Carmen Rivera,Este,4,,Galletas,10,3.00,
102,2024-01-19,,Pedro Ramírez,Norte  ,10,Empanada  ,Salados,8,3.00,24.00
103,2023-11-24,,María González,Norte,6,Pan Integral,Panes,5,2.00,10.00
104,2024-05-05,4,Juan Rodríguez,,10,Empanada,Salados,8,3.00,24.00
105,,5,Laura Sánchez,Oeste  ,3,Pastel Chocolate,Pasteles,6,15.00,90.00
106,2023-10-29,5,Laura Sánchez,Oeste,9,Baguette,Panes,5,2.50,12.50
107,2023-09-10,5,Laura Sánchez,Oeste,7,Muffin Arándanos,Pasteles,3,,10.50
108,2023-07-06,,Ana Martínez,Centro,4,Galletas Avena  ,Galletas,5,3.00,15.00
109,2024-04-09,3,Ana Martínez,Centro,7,Muffin Arándanos,,8,,28.00
110,2024-06-29,8,Miguel Flores,Centro,1,Pan Francés,Panes  ,5,1.50,7.50
111,2023-06-21,2,Carlos López,Sur,,Donas,Panes,7,2.00,14.00
112,2024-01-13,2,Carlos López,Sur,10,Empanada,Salados,5,3.00,15.00
113,2024-04-02,6,Pedro Ramírez,Norte,9,Baguette,Panes,10,2.50,25.00
114,2024-02-11,3,Ana Martínez,,8,Tarta Manzana,Pasteles,4,12.00,48.00
115,2024-06-19,,Juan Rodríguez,Este,9,Baguette,Panes,5,2.50,12.50
116,2023-12-07,,Juan Rodríguez,Este,5,Donas,Panes  ,1,2.00,2.00
117,2024-04-19,4,,Este,9,Baguette,Panes,,,7.50
118,2023-03-10,8,Miguel Flores,Centro,1,Pan Francés,Panes,6,1.50,
119,2023-08-09,5,Laura Sánchez,Oeste,6,Pan Integral,Panes,3,2.00,6.00
120,2023-03-15,7,,Sur,,Muffin Arándanos,Pasteles,6,3.50,21.00
121,2023-02-15,8,Miguel Flores,Centro,4,Galletas Avena,Galletas,4,3.00,12.00
122,2024-08-19,7,,Sur,6,Pan Integral,Panes,10,,20.00
123,2024-01-31,6,Pedro Ramírez,Norte,9,Baguette  ,Panes,5,2.50,12.50
124,2023-05-07,6,Pedro Ramírez,Norte,3,,Pasteles,8,15.00,120.00
125,2023-03-17,,Juan Rodríguez,Este,,Croissant,Panes,1,2.50,2.50
126,2024-07-26,7,Sofia Torres,Sur,2,Croissant  ,Panes,,2.50,17.50
127,,10,José Gómez,Oeste,1,Pan Francés,,5,1.50,7.50
128,2023-10-19,,Ana Martínez,Centro  ,10,Empanada,Salados,10,,30.00
129,2023-11-21,3,Ana Martínez,Centro,2,Croissant,Panes,7,2.50,17.50
130,2023-12-10,8,Miguel Flores,Centro,3,Pastel Chocolate,Pasteles,6,15.00,90.00
131,2023-05-04,8,Miguel Flores,Centro,6,Pan Integral  ,Panes,,2.00,2.00
132,2023-04-15,6,Pedro Ramírez,Norte,6,Pan Integral,Panes,9,2.00,18.00
133,2023-11-09,1,María González,Norte,3,Pastel Chocolate,Pasteles,1,15.00,15.00
134,2023-06-23,8,Miguel Flores,Centro,7,Muffin Arándanos,Pasteles,7,3.50,24.50
135,2024-05-21,3,Ana Martínez,Centro,8,Tarta Manzana,Pasteles,3,12.00,36.00
136,2023-03-29,2,Carlos López,Sur,9,Baguette,Panes,8,2.50,
137,2024-05-19,9,Carmen Rivera,Este,10,Empanada,Salados,5,3.00,15.00
138,,1,María González,,5,Donas,Panes,4,2.00,8.00
139,2023-07-08,9,Carmen Rivera,Este,10,Empanada,Salados,8,3.00,24.00
140,2023-08-10,,Pedro Ramírez,Norte,3,Pastel Chocolate  ,Pasteles,7,15.00,
141,2023-09-04,5,Laura Sánchez,Oeste,3,Pastel Chocolate,Pasteles,6,15.00,90.00
142,2024-03-05,10,José Gómez,Oeste,3,Pastel Chocolate,Pasteles,7,15.00,105.00
143,2024-06-11,2,Carlos López,Sur,8,Tarta Manzana,Pasteles,2,12.00,24.00
144,2024-01-29,8,Miguel Flores,Centro,5,Donas,Panes,6,,12.00
145,2024-05-09,3,Ana Martínez,Centro,8,Tarta Manzana,Pasteles,6,12.00,72.00
146,2023-09-17,4,Juan Rodríguez,Este,7,Muffin Arándanos,Pasteles,6,3.50,21.00
147,2024-08-07,8,,Centro,1,Pan Francés,Panes,1,,1.50
148,2024-04-30,9,Carmen Rivera,,7,Muffin Arándanos,Pasteles,5,3.50,17.50
149,2024-04-25,6,Pedro Ramírez,Norte,4,Galletas Avena,Galletas,,3.00,12.00
150,2023-08-20,1,María González,,,Muffin Arándanos,Pasteles,7,3.50,24.50
151,2024-01-21,9,Carmen Rivera,Este,10,Empanada  ,Salados,8,3.00,24.00
152,2023-07-24,8,Miguel Flores,Centro,9,Baguette,Panes,9,,22.50
153,2023-09-04,8,Miguel Flores,Centro,,Pan Francés,Panes,5,1.50,7.50
154,2023-06-23,,Miguel Flores,Centro,,Pan Integral,Panes,8,2.00,
155,2023-09-14,5,,Oeste,8,Tarta Manzana,Pasteles,,12.00,60.00
156,,7,Sofia Torres,Sur,1,Pan Francés,Panes,8,1.50,
157,2024-08-13,6,Pedro Ramírez,Norte,9,,Panes,8,2.50,20.00
158,2023-04-15,5,Laura Sánchez,Oeste,2,Croissant,Panes,4,2.50,10.00
159,2024-09-09,10,José Gómez,Oeste,3,Pastel Chocolate,,10,15.00,150.00
160,2024-08-14,5,Laura Sánchez,Oeste,10,Empanada  ,Salados,2,3.00,6.00
161,2023-07-02,2,,Sur,2,Croissant,Panes,6,2.50,15.00
162,2023-03-23,6,Pedro Ramírez,Norte,7,Muffin Arándanos,Pasteles,8,3.50,28.00
163,2023-08-17,9,Carmen Rivera,Este,1,Pan Francés,,10,,15.00
164,2024-08-16,10,José Gómez,Oeste,9,Baguette,Panes,3,2.50,7.50
165,2024-06-27,9,Carmen Rivera,Este,,Galletas Avena,Galletas,2,3.00,6.00
166,2024-05-17,4,Juan Rodríguez,Este,7,,Pasteles,10,3.50,35.00
167,2023-12-08,10,José Gómez,Oeste,6,Pan Integral,,,2.00,12.00
168,2024-05-21,7,Sofia Torres,Sur,3,,Pasteles,4,15.00,60.00
169,2024-07-01,6,Pedro Ramírez,Norte,2,Croissant,Panes,9,2.50,22.50
170,2023-04-20,10,José Gómez,Oeste,5,Donas,Panes,3,2.00,6.00
171,2024-07-26,2,Carlos López,,10,Empanada,Salados,2,3.00,
172,2023-08-12,,Sofia Torres,Sur,1,Pan Francés,Panes,9,1.50,13.50
173,2024-05-17,7,Sofia Torres,Sur,7,Muffin Arándanos,Pasteles,6,3.50,21.00
174,2023-01-18,3,Ana Martínez,Centro,1,Pan Francés,,3,1.50,4.50
175,2023-11-20,6,Pedro Ramírez,Norte,1,Pan Francés,Panes,10,1.50,15.00
176,2023-05-16,7,Sofia Torres,Sur,1,Pan Francés,Panes,1,1.50,1.50
177,2024-09-13,1,María González,Norte,10,Empanada,Salados,,3.00,12.00
178,2024-04-06,7,Sofia Torres,Sur,,Pastel Chocolate,Pasteles,,15.00,150.00
179,2023-08-26,,José Gómez,Oeste,5,Donas,Panes,,2.00,6.00
180,2024-05-17,8,Miguel Flores,Centro,3,Pastel Chocolate  ,Pasteles,4,15.00,60.00
181,2024-05-19,9,Carmen Rivera,Este  ,2,Croissant,Panes,10,2.50,
182,2024-09-01,,Carmen Rivera,Este,1,Pan Francés,Panes,3,,4.50
183,2024-01-30,4,Juan Rodríguez,Este,10,Empanada,Salados,5,3.00,
184,2024-01-02,,Carmen Rivera,Este,3,Pastel Chocolate,Pasteles,4,15.00,60.00
185,2023-09-21,6,Pedro Ramírez,,10,Empanada,Salados,,3.00,9.00
186,2023-09-07,2,Carlos López,Sur,4,,Galletas,7,3.00,21.00
187,2024-08-17,1,María González,Norte,10,Empanada,Salados,10,3.00,30.00
188,2023-11-01,4,Juan Rodríguez,Este,3,Pastel Chocolate,,4,,60.00
189,2023-01-31,2,Carlos López,Sur,8,Tarta Manzana,Pasteles,,,24.00
190,2023-05-06,8,Miguel Flores,Centro,1,Pan Francés,Panes,1,1.50,1.50
191,2024-07-30,6,Pedro Ramírez,Norte,10,,Salados,1,3.00,3.00
192,2023-08-22,2,Carlos López,Sur,9,Baguette,Panes,,2.50,5.00
193,2023-08-11,1,María González,Norte,9,,,1,2.50,2.50
194,,5,Laura Sánchez,Oeste,3,Pastel Chocolate,Pasteles,4,15.00,60.00
195,2024-01-16,10,José Gómez,Oeste,1,Pan Francés,Panes  ,1,1.50,1.50
196,2023-05-03,10,José Gómez  ,Oeste,1,Pan Francés,,6,1.50,
197,2024-01-18,9,Carmen Rivera,Este  ,2,Croissant,,5,2.50,12.50
198,2023-02-09,,Carmen Rivera,Este,10,Empanada  ,Salados,1,3.00,
199,2023-08-17,8,Miguel Flores,Centro,2,Croissant,Panes,10,2.50,25.00
200,2023-02-23,7,Sofia Torres,Sur,9,Baguette,Panes  ,3,2.50,7.50
201,2024-02-10,7,Sofia Torres,Sur,5,,Panes,10,2.00,
202,2023-06-02,3,Ana Martínez,Centro,,Pastel Chocolate,Pasteles,9,15.00,135.00
203,,10,José Gómez,Oeste,,Muffin Arándanos,Pasteles,1,3.50,3.50
204,2023-05-17,7,Sofia Torres,Sur  ,9,Baguette,Panes,7,2.50,17.50
205,2023-09-19,,María González,Norte,1,Pan Francés,,1,1.50,1.50
206,2023-02-12,6,Pedro Ramírez,Norte,9,Baguette,Panes,1,2.50,2.50
207,,7,Sofia Torres  ,Sur,9,Baguette,Panes,4,2.50,10.00
208,2024-09-22,5,Laura Sánchez  ,Oeste  ,8,Tarta Manzana,Pasteles,5,12.00,60.00
209,2023-10-17,2,Carlos López,Sur,6,Pan Integral,Panes,9,2.00,18.00
210,2024-08-01,,Juan Rodríguez,Este,9,Baguette,Panes,10,2.50,
211,2024-07-09,,,Oeste,6,Pan Integral,Panes,,2.00,10.00
212,2023-07-23,7,Sofia Torres,Sur,4,Galletas Avena,Galletas,8,3.00,24.00
213,2023-02-16,10,José Gómez,Oeste,,Empanada,Salados,10,,30.00
214,2024-01-21,4,Juan Rodríguez,Este,9,Baguette,Panes,9,2.50,22.50
215,2023-09-30,2,Carlos López,Sur,1,Pan Francés,Panes  ,4,,
216,2024-08-03,,Carlos López,Sur,8,Tarta Manzana,Pasteles,2,12.00,24.00
217,2023-09-04,9,Carmen Rivera,Este,9,Baguette,Panes,1,2.50,2.50
218,2023-10-14,5,Laura Sánchez,Oeste,,Baguette,Panes,4,2.50,
219,2023-09-28,10,José Gómez,Oeste,7,Muffin Arándanos,Pasteles,10,3.50,35.00
220,,10,José Gómez,,3,,Pasteles,2,15.00,30.00
221,,1,María González,,,Pan Francés,Panes,2,,3.00
222,2024-04-10,8,Miguel Flores,,10,Empanada,Salados,7,3.00,21.00
223,2024-01-01,1,María González,Norte,6,Pan Integral,Panes,9,2.00,18.00
224,2023-05-20,,Sofia Torres,Sur,10,Empanada,Salados,7,3.00,
225,2023-09-03,2,,Sur,,Donas  ,Panes,4,2.00,8.00
226,2023-12-02,8,Miguel Flores,Centro,10,Empanada,Salados,9,3.00,27.00
227,2024-08-31,1,María González,Norte,6,Pan Integral,Panes,5,2.00,10.00
228,2024-02-09,2,Carlos López,Sur,4,Galletas Avena,Galletas,6,3.00,
229,2024-01-26,7,Sofia Torres,Sur,3,Pastel Chocolate,Pasteles,9,15.00,135.00
230,2023-10-06,1,María González,Norte  ,5,Donas,Panes,1,2.00,2.00
231,2023-06-10,4,Juan Rodríguez,Este,1,Pan Francés,Panes,,1.50,7.50
232,2023-02-19,6,Pedro Ramírez,Norte,9,Baguette,Panes,10,2.50,25.00
233,2023-02-26,5,Laura Sánchez,Oeste,10,Empanada  ,Salados,1,3.00,
234,2023-08-29,9,Carmen Rivera,Este,4,Galletas Avena,Galletas,10,3.00,30.00
235,2024-08-22,4,Juan Rodríguez  ,Este  ,2,Croissant  ,Panes,10,2.50,25.00
236,2023-07-24,2,Carlos López,Sur,6,Pan Integral,Panes,2,2.00,4.00
237,2023-10-09,4,Juan Rodríguez,Este,8,Tarta Manzana,Pasteles,7,12.00,84.00
238,2024-08-23,8,Miguel Flores,Centro,8,Tarta Manzana  ,Pasteles,1,12.00,12.00
239,,5,Laura Sánchez,Oeste,7,Muffin Arándanos,Pasteles,3,3.50,10.50
240,2024-05-21,4,,Este  ,1,Pan Francés,Panes,,1.50,13.50
241,2023-12-19,2,Carlos López,Sur,2,Croissant,Panes,3,2.50,7.50
242,2024-05-02,5,Laura Sánchez,Oeste,9,,Panes,9,2.50,22.50
243,2024-08-08,4,Juan Rodríguez,Este,6,Pan Integral,Panes,10,2.00,20.00
244,2024-04-07,1,María González,Norte,,Empanada,Salados,1,3.00,3.00
245,2023-02-13,8,Miguel Flores,Centro,6,Pan Integral,Panes,3,,6.00
246,2023-08-12,4,Juan Rodríguez,Este,9,Baguette,,2,2.50,5.00
247,2024-06-28,3,Ana Martínez,Centro,1,Pan Francés,Panes,1,1.50,1.50
248,2023-12-16,5,Laura Sánchez,Oeste,2,Croissant,,,2.50,7.50
249,2023-03-19,6,Pedro Ramírez,Norte  ,8,Tarta Manzana,Pasteles,7,12.00,84.00
250,2023-05-17,8,,Centro,2,Croissant  ,Panes,10,2.50,
251,2024-06-02,,Juan Rodríguez,Este,10,Empanada,Salados,6,,18.00
252,2024-02-26,4,Juan Rodríguez,Este,5,Donas,Panes,,2.00,10.00
253,2024-06-13,,Juan Rodríguez,Este,2,Croissant,Panes,,,25.00
254,2024-06-08,3,Ana Martínez,Centro,5,Donas,Panes,4,2.00,8.00
255,2024-05-30,9,Carmen Rivera,Este  ,9,Baguette,Panes,10,2.50,25.00
256,2024-08-10,6,Pedro Ramírez,Norte,7,Muffin Arándanos,Pasteles,2,3.50,7.00
257,2023-04-18,4,Juan Rodríguez,Este,5,Donas,,3,2.00,6.00
258,,9,Carmen Rivera,Este,5,Donas,Panes,9,2.00,18.00
259,2023-10-23,7,Sofia Torres,Sur,10,Empanada,Salados,8,3.00,24.00
260,,1,María González,,10,Empanada,Salados,2,3.00,6.00
261,2023-10-20,4,Juan Rodríguez  ,,2,Croissant,Panes,8,2.50,20.00
262,2024-08-02,2,Carlos López  ,Sur,1,Pan Francés,Panes,8,1.50,12.00
263,2023-04-22,9,Carmen Rivera,Este,,Galletas Avena  ,Galletas,6,3.00,18.00
264,2024-04-19,4,,Este,6,Pan Integral,Panes,4,2.00,8.00
265,2023-10-30,9,Carmen Rivera,Este,8,,Pasteles,1,,12.00
266,2023-08-20,2,Carlos López,Sur,2,,,,2.50,15.00
267,2024-04-14,2,Carlos López,Sur,8,Tarta Manzana,,7,12.00,84.00
268,2023-04-19,1,María González,Norte,4,,Galletas,1,3.00,3.00
269,2024-03-15,,Juan Rodríguez,Este,9,Baguette,Panes,10,2.50,
270,2023-02-14,7,Sofia Torres,Sur,4,,Galletas,9,3.00,27.00
271,2023-04-14,6,Pedro Ramírez,Norte,7,Muffin Arándanos,,3,3.50,10.50
272,2023-08-17,5,Laura Sánchez,Oeste,1,Pan Francés,Panes,5,1.50,7.50
273,2024-04-21,8,Miguel Flores,Centro  ,1,,Panes,10,1.50,15.00
274,2023-10-11,2,Carlos López,Sur,9,Baguette,Panes,6,2.50,15.00
275,,9,Carmen Rivera,Este,10,Empanada,Salados,10,3.00,30.00
276,2024-01-11,9,,Este  ,6,Pan Integral,Panes,,2.00,18.00
277,2023-10-13,9,Carmen Rivera,Este,3,Pastel Chocolate,Pasteles,6,15.00,90.00
278,2023-11-17,4,Juan Rodríguez,Este,7,Muffin Arándanos,Pasteles,1,3.50,3.50
279,2023-08-24,4,Juan Rodríguez,Este,1,Pan Francés,,5,1.50,7.50
280,2023-02-12,,Ana Martínez,Centro,6,Pan Integral,Panes,,2.00,4.00
281,2023-08-20,3,Ana Martínez,Centro,,Pan Integral,Panes,10,2.00,20.00
282,2023-06-22,10,,Oeste,6,Pan Integral,,6,2.00,12.00
283,2023-01-04,1,María González,Norte,4,Galletas Avena,Galletas,5,,15.00
284,,,Carmen Rivera,Este,7,,Pasteles,7,3.50,24.50
285,2024-09-17,10,José Gómez,Oeste,7,Muffin Arándanos,Pasteles,7,3.50,24.50
286,2023-03-31,4,Juan Rodríguez  ,Este,9,Baguette,Panes,1,2.50,2.50
287,,6,Pedro Ramírez,Norte,2,Croissant,Panes,3,2.50,7.50
288,2024-09-20,5,,Oeste,6,Pan Integral,Panes,7,2.00,14.00
289,2024-03-23,6,Pedro Ramírez,Norte,6,Pan Integral,,4,2.00,8.00
290,2023-11-20,3,,Centro,7,Muffin Arándanos  ,Pasteles,7,3.50,24.50
291,,6,Pedro Ramírez,Norte,8,Tarta Manzana,Pasteles,3,12.00,36.00
292,2023-06-05,1,María González  ,Norte,5,Donas,,4,2.00,8.00
293,2023-02-07,6,Pedro Ramírez  ,Norte,3,,Pasteles,9,15.00,
294,2023-04-23,1,María González,,5,Donas,Panes  ,1,2.00,2.00
295,2023-06-27,1,María González,Norte,5,Donas,Panes,,2.00,20.00
296,2023-05-11,6,Pedro Ramírez,Norte,2,Croissant,Panes,10,2.50,25.00
297,2024-08-29,5,Laura Sánchez,Oeste,8,Tarta Manzana,Pasteles,2,12.00,24.00
298,2023-04-25,2,Carlos López,Sur,10,,Salados,8,3.00,24.00
299,2024-01-02,6,Pedro Ramírez,Norte,1,Pan Francés,,1,1.50,1.50
300,2023-11-07,7,Sofia Torres,Sur,,Empanada,Salados,6,,18.00
301,2024-06-05,6,,Norte,1,Pan Francés,Panes,5,1.50,7.50
302,2024-04-16,5,Laura Sánchez,Oeste,3,Pastel Chocolate,Pasteles,1,15.00,15.00
303,2023-09-04,,Juan Rodríguez,Este,2,Croissant,Panes,10,2.50,25.00
304,2023-09-24,3,Ana Martínez,Centro  ,1,Pan Francés,Panes,1,1.50,1.50
305,2024-05-31,6,Pedro Ramírez,Norte,8,Tarta Manzana,Pasteles,2,12.00,24.00
306,2023-04-08,,María González,Norte,2,Croissant,Panes,7,2.50,17.50
307,2023-06-09,,,Oeste,3,Pastel Chocolate,Pasteles,9,15.00,135.00
308,2023-11-28,6,Pedro Ramírez,Norte,8,Tarta Manzana,Pasteles,5,12.00,60.00
309,,4,Juan Rodríguez,Este,4,Galletas Avena,Galletas  ,10,,30.00
310,,8,Miguel Flores,Centro,,Muffin Arándanos,Pasteles,8,3.50,
311,2024-04-05,10,José Gómez  ,Oeste,7,Muffin Arándanos,Pasteles,,3.50,3.50
312,2024-08-06,7,Sofia Torres,Sur,8,Tarta Manzana,Pasteles,10,12.00,120.00
313,2023-04-23,4,Juan Rodríguez,Este,2,Croissant,Panes,7,2.50,17.50
314,2023-03-18,10,José Gómez,Oeste,7,Muffin Arándanos,Pasteles,7,3.50,
315,,5,Laura Sánchez,Oeste,6,Pan Integral,Panes,3,2.00,6.00
316,2023-02-14,1,María González,Norte,4,Galletas Avena  ,Galletas,6,3.00,18.00
317,,8,Miguel Flores,Centro,3,Pastel Chocolate,,6,15.00,90.00
318,2023-12-15,7,Sofia Torres,,2,Croissant,,2,2.50,5.00
